Station Name,IBNR
Bad Vilbel-Gronau,08002382
Bad Waldsee,08000763
Bad Wildbad Bf,08006431
Bad Wildbad Kurpark,08070283
Bad Wildbad Nord,08070281
Bad Wildbad Uhlandplatz,08070282
Bad Wildungen,08000764
Bad Wilsnack,08011088
Bad Wimpfen,08000765
Bad Wimpfen Parkplatz Seegarten,08070920
Bad Wimpfen-Hohenstadt,08000766
Bad Wimpfen-Hohenstadt (Bus),08070921
Bad Windsheim,08000767
Bad Wörishofen,08000768
Bad Wurzach,08000769
Bad Zwischenahn,08000770
Baddeckenstedt,08000772
Baden(Verden),08000773
Baden-Baden,08000774
Baden-Baden Bahnhof,08050774
Baden-Baden Bahnhof (B3 Neu),08080774
Baden-Baden Haueneberstein,08000771
Baden-Baden Rebland,08000775
Bagenz,08011097
Bahlingen am Kaiserstuhl,08007293
Bahlingen-Riedlen,08007310
Bahnbrücken,08007144
Bahnsdorf,08011098
Baienfurt,08070978
Baierbrunn,08000781
Baiersbronn Bf,08000782
Baiersbronn Schule,08000789
Baiersdorf,08000783
Baitz,08011100
Balbersdorf,08000784
Baldham,08000785
Balduinstein,08000786
Balgheim,08000787
Balgstädt,08011103
Balingen Süd,08000788
Balingen(Württ),08000353
Ballenstedt Ost,08013441
Ballenstedt West,08011104
"Ballrechten,Schmiede$Ballrechten-Dott Sch",08079052
Ballstädt(Gotha),08011106
Balteratsried,08070975
Baltersweiler,08000792
Baltrum,08007778
Balve,08000793
Bamberg,08000025
Bammental,08000794
Bannemin-Mölschow,08011108
Bansin Seebad,08011109
Banteln,08000796
Bantin,08011110
Bantorf,08000797
Barabein,08079098
Barbelroth,08000802
Barby,08010024
Bardowick,08000801
Bärenhecke-Johnsbach,08011091
Bärenklau,08011093
Bärenstein(Annaberg),08011094
"Bärenstein(b Glashütte, Sachs)",08011095
Bargstedt,08007840
Bargteheide,08000804
Barleben,08011111
Barleber See,08011112
Barmstedt,08007070
Barmstedt Brunnenstr,08007069
Bärnsdorf,08011096
Barnstorf(Han),08000807
Barnten,08000808
Barrien,08000810
Barsinghausen,08000812
Barth,08011114
Barthmühle,08011115
Baruth(Mark),08011116
Basdahl Kluste,08070023
Basdorf,08010025
Basel Bad Bf,08000026
Bassum,08000354
Battenberg Bf,08000819
Battenberg-Auhammer,08000665
Battenfeld,08000820
Batzenhäusle,08000821
Batzhausen,08000822
Bauerbach,08000823
Bäumenheim,08000778
Baumholder Bahnhof,08000825
Baunach,08000826
Baunatal-Guntershausen,08000140
Baunatal-Rengershausen,08005039
Bautzen,08010026
Bavendorf,08000827
Bayerbach,08000828
Bayerisch Eisenstein,08000830
Bayerisch Gmain,08000831
Bayreuth Hbf,08000028
Bayreuth-St Georgen,08000833
Bayrischzell,08000834
Bebitz,08011119
Bebra,08000029
Bechstedt-Trippstein,08011121
Beckingen(Saar),08000840
Bedburg(Erft),08000030
Bedburg-Hau,08000842
Beelen,08000846
Beelitz Stadt,08013468
Beelitz-Heilstätten,08013467
Beerfelden Hetzbach,08002815
Beeskow,08010029
