IBNR,Station Name
8000534,Muhr a See
8000537,Altenseelbach
8000537,Neunkirchen-Altensee
8000538,Altenstadt(Hess)
8000539,Altenstadt(Iller)
8000540,Altenstadt(Waldnaab)
8000544,Altglashütten-Falkau
8000544,Feldberg-Altglashü
8000545,Althegnenberg
8000546,Altheim(Hess)
8000546,Münster-Altheim(Hes
8000547,Lauterecken-Grumbach
8000553,Altmorschen
8000553,Morschen-Altmorschen
8000555,Altötting
8000555,AÖ
8000556,Altomünster
8000558,Alzey Süd
8000559,Altshausen
8000561,Altstädten(Allgäu)
8000561,Sonthofen-Altstädt.
8000562,Alttann
8000562,Wolfegg-Alttann
8000563,Lebach
8000566,Amberg
8000566,AM
8000569,Münster-Amelsbüren
8000571,Lippstadt
8000571,LP
8000575,Amorbach
8000576,Ampfing
8000577,Amstetten(Württ)
8000578,Hannover Anderten-Misburg
8000579,Angermund
8000580,Angersbach
8000580,Wartenberg-Angersba.
8000582,Annweiler am Trifels
8000584,Anrath
8000584,Willich-Anrath
8000585,Langenlonsheim
8000586,Langwedel
8000586,Langwedel Bahnhof
8000588,Anwanden
8000588,Zirndorf-Anwanden
8000589,Anzefahr
8000589,Kirchhain-Anzefahr
8000590,Anzenkirchen
8000590,Triftern-Anzenkirch.
8000591,Apach(fr)
8000591,Perl(Gr)
8000595,Nottuln-Appelhülsen
8000596,Appenweier
8000597,Ardey
8000597,Fröndenberg-Ardey
8000599,Arfurt(Lahn)
8000599,Runkel-Arfurt(Lahn)
8000601,Bad Münstereifel-Arloff
8000602,Armsheim
8000603,Arnbach
8000605,Arnsberg(Westf)
8000605,AR
8000606,Arnschwang
8000609,Bad Arolsen
8000609,Arolsen Bad
8000611,Arsbeck
8000611,Wegberg-Arsbeck
8000613,Arzberg(Oberfr)
8000615,Mainz-Kastel
8000615,Wiesbaden-Mainz-Kast
8000618,Aschaffenburg Hochschule
8000619,Aschaffenburg Süd
8000621,Aschau(Chiemgau)
8000623,Ascheberg(Westf)
8000624,Aschendorf
