8000264;Mosbach-Neckarelz;;;;;
8000265;Neckargemünd;;;;;
8000266;Wuppertal Hbf;W;;;;
8000267;Neuenmarkt-Wirsberg;;;;;
8000268;Wunstorf;;;;;
8000269;Neukirchen(b Sulzb);;;;;
8000271;Neumünster;NMS;;;;
8000272;Neunkirchen(Saar)Hbf;NK;;;;
8000273;Muldenberg Floßplatz;;;;;
8000274;Neuss Hbf;NE;;;;
8000275;Neustadt(Weinstr)Hbf;NW;;;;
8000276;Neuwied;NR;;;;
8000277;Nidda;;;;;
8000278;Niederlahnstein;Lahnstein Nieder;;;;
8000279;Nienburg(Weser);NI;;;;
8000280;Nördlingen;NÖ;;;;
8000281;Frankfurt(M)Flughafen;Francfort Aeroport;Frankfurt Flughafen-;FFMF;Flughafen Frankfurt;Frankfurt(Main)Flugh
8000282;Nordstemmen;;;;;
8000283;Northeim(Han);NOM;;;;
8000284;Nürnberg Hbf;Neurenberg C;Nuremberg C;Norimberga C;;
8000285;Rödermark-Ober Roden;Roden Ober;;;;
8000286;Oberhausen Hbf;OB-;;;;
8000287;Oberkotzau;;;;;
8000288;Wiesbaden-Biebrich;;;;;
8000289;Zwickau Zentrum;;;;;
8000290;Offenburg;OG;;;;
8000291;Oldenburg(Oldb);OL;;;;
8000292;Zwickau Stadthalle;;;;;
8000294;Osnabrück Hbf;OS-;;;;
8000295;Osterburken;;;;;
8000297;Paderborn Hbf;PB;;;;
8000298;Passau Hbf;PA;;;;
8000299;Pforzheim Hbf;PF;;;;
8000301;Plattling;PLAT;;;;
8000302;Plochingen;PLO;;;;
8000303;Igel(Gr);;;;;
8000304;Quakenbrück;;;;;
8000306;Rastatt;RA;;;;
8000307;Recklinghausen Hbf;RE-;;;;
8000308;Ludwigshafen(Rhein) BASF Mitte;;;;;
8000309;Regensburg Hbf;R;Ratisbonne;Ratisbona;Ratisbon;
8000310;Remagen;;;;;
8000311;Remscheid-Lennep;;;;;
8000312;Rendsburg;RD;;;;
8000313;Renningen;;;;;
8000314;Reutlingen Hbf;RT;;;;
8000315;Rheda-Wiedenbrück;;;;;
8000316;Rheine;;;;;
8000317;Rheinhausen;;;;;
8000318;Rheydt Hbf;RY;Mönchengladbach-Rhy;;;
8000319;Rohrbach(Saar);St Ingbert-Rohrbach;;;;
8000320;Rosenheim;RO;;;;
8000321;Rotenburg(Wümme);ROW;;;;
8000322;Rottweil;RW;;;;
8000323;Saarbrücken Hbf;SB;Sarrebruck;;;
8000324;Boppard Süd;;;;;
8000325;Salzgitter-Ringelheim;;;;;
8000326;Schifferstadt;;;;;
8000327;Wahlheim;;;;;
8000328;Schnabelwaid;;;;;
8000329;Schwäbisch Gmünd;GD;;;;
8000330;Schwäbisch Hall-Hessental;Schwäbisch Hall-Hess;;;;
8000331;Andernach;;;;;
8000332;Frankenthal Hbf;FT;;;;
8000333;Hausach;;;;;
8000334;Jübek;;;;;
8000335;Leese-Stolzenau;;;;;
8000336;Leutkirch;;;;;
8000337;Marburg(Lahn);MR;;;;
8000338;Mindelheim;MN;;;;
8000339;Mühlacker;;;;;
