clear_station_name,lat,long
hasselborn,50.40738,8.48938
grävenwiesbach,50.38688,8.45649
hundstadt,50.37052,8.46754
wilhelmsdorf,49.56357,10.73821
usingen,50.33543,8.53467
hausen(taunus),50.08387,8.86068
neu-anspach,50.29323,8.51102
wehrheim,50.30319,8.57068
saalburg(taunus),50.2897,8.50856
köppern,50.27603,8.64793
kettwig stausee,51.36221,6.94559
rot am see,49.25358,10.02371
blaufelden,49.2965,9.97661
schrozberg,49.34659,9.97774
niederstetten,49.40184,9.9174
weikersheim,49.48319,9.90111
markelsheim,49.47353,9.83251
bad mergentheim,49.49239,9.77035
satzvey,50.62085,6.7048
bahnbrücken,49.11869,8.7867
gochsheim(baden),50.01911,10.28253
münzesheim ost,49.12245,8.71594
münzesheim,49.12245,8.71594
oberöwisheim,49.1453,8.68909
unteröwisheim bf,49.14428,8.66591
unteröwisheim m.-luther-str.,49.14428,8.66591
ubstadt salzbrunnenstr,49.15695,8.63164
ubstadt ort,49.16113,8.63132
bruchsal stegwiesen,49.13636,8.58729
bruchsal schloßgarten,49.12991,8.59658
bruchsal bildungszentrum,49.11145,8.56993
untergrombach,49.08609,8.55317
weingarten(baden),49.05352,8.53124
harsum,52.20853,9.9647
algermissen,52.25369,9.97207
sauerlach,47.9732,11.65391
deisenhofen,48.01846,11.58987
münchen-fasangarten,48.09607,11.61013
münchen st.martin-str.,48.12015,11.60308
münchen ost,48.13641,11.57754
münchen rosenheimer platz,48.12868,11.59365
münchen karlsplatz,48.13966,11.566
münchen donnersbergerbrücke,48.14511,11.53516
münchen-pasing,48.14689,11.45871
münchen-langwied,48.18127,11.42439
olching,48.20785,11.32846
"platz der deutschen einheit, kassel",51.31059,9.51321
"unterneustädter kirchplatz, kassel",51.31365,9.50897
"altmarkt/regierungspräsidium, kassel",51.31644,9.50485
"am stern, kassel",51.31799,9.5002
"lutherplatz, kassel",51.31901,9.49635
"scheidemannplatz, kassel",51.31639,9.49219
kassel hbf (tief),51.26836,9.43801
kassel-jungfernkopf,51.33917,9.46276
barleben,52.20546,11.61881
meitzendorf,52.20906,11.56113
groß ammensleben,,
vahldorf,52.25678,11.5017
flechtingen,52.33212,11.23742
wegenstedt,52.3879,11.20158
rätzlingen,52.97602,10.67838
bösdorf(sachs-anh),54.14061,10.49005
osterhofen(oberbay),48.70247,13.01911
geitau,47.68865,11.96091
fischbachau,47.72033,11.95132
fischhausen-neuhaus,47.70626,11.87107
schliersee,47.73551,11.86282
hausham,47.7477,11.84256
agatharied,47.76763,11.82548
miesbach,47.78916,11.83342
darching,48.24905,11.65149
malching(oberbay),48.31542,13.19219
mainaschaff,49.97746,9.08537
stockstadt(main),49.97956,9.06418
hergershausen,49.9403,8.9114
altheim(hess),49.91869,8.89326
messel,49.93801,8.74037
darmstadt-kranichstein,49.9013,8.68183
weiterstadt,49.90591,8.58324
klein gerau,49.91813,8.5194
nauheim(b gr.gerau),49.94461,8.4551
bochum hbf,51.46859,7.24391
wattenscheid-höntrop,51.46346,7.15443
markkleeberg nord,51.28452,12.42389
euskirchen-kuchenheim,50.65891,6.83368
